fecha,dia_semana,producto,unidades_producidas_formula_ingenua,unidades_vendidas,unidades_desperdiciadas,ventas_perdidas_por_faltante,precio_unitario,costo_produccion_unitario,en_promocion,evento_especial,ingreso,costo_desperdicio_pesos
2025-03-17,Monday,Glaseada Clásica,257,132,125,0,18,6.5,False,,2376,812.5
2025-03-18,Tuesday,Glaseada Clásica,246,171,75,0,18,6.5,False,,3078,487.5
2025-03-19,Wednesday,Glaseada Clásica,244,200,44,0,18,6.5,False,,3600,286.0
2025-03-20,Thursday,Glaseada Clásica,247,194,53,0,18,6.5,False,,3492,344.5
2025-03-21,Friday,Glaseada Clásica,236,236,0,36,18,6.5,False,,4248,0.0
2025-03-22,Saturday,Glaseada Clásica,236,236,0,86,18,6.5,False,,4248,0.0
2025-03-23,Sunday,Glaseada Clásica,227,227,0,49,18,6.5,False,,4086,0.0
2025-03-24,Monday,Glaseada Clásica,224,148,76,0,18,6.5,False,,2664,494.0
2025-03-25,Tuesday,Glaseada Clásica,226,156,70,0,18,6.5,False,,2808,455.0
2025-03-26,Wednesday,Glaseada Clásica,224,210,14,0,18,6.5,False,,3780,91.0
2025-03-27,Thursday,Glaseada Clásica,225,225,0,21,18,6.5,False,,4050,0.0
2025-03-28,Friday,Glaseada Clásica,233,233,0,16,18,6.5,False,,4194,0.0
2025-03-29,Saturday,Glaseada Clásica,230,230,0,120,18,6.5,False,,4140,0.0
2025-03-30,Sunday,Glaseada Clásica,234,234,0,81,18,6.5,False,Quincena,4212,0.0
2025-03-31,Monday,Glaseada Clásica,239,176,63,0,18,6.5,False,Quincena,3168,409.5
2025-04-01,Tuesday,Glaseada Clásica,243,243,0,70,18,6.5,True,Quincena,4374,0.0
2025-04-02,Wednesday,Glaseada Clásica,266,171,95,0,18,6.5,False,,3078,617.5
2025-04-03,Thursday,Glaseada Clásica,260,225,35,0,18,6.5,False,,4050,227.5
2025-04-04,Friday,Glaseada Clásica,257,257,0,54,18,6.5,False,,4626,0.0
2025-04-05,Saturday,Glaseada Clásica,266,266,0,37,18,6.5,False,,4788,0.0
2025-04-06,Sunday,Glaseada Clásica,259,259,0,19,18,6.5,False,,4662,0.0
2025-04-07,Monday,Glaseada Clásica,254,147,107,0,18,6.5,False,,2646,695.5
2025-04-08,Tuesday,Glaseada Clásica,250,197,53,0,18,6.5,False,,3546,344.5
2025-04-09,Wednesday,Glaseada Clásica,233,209,24,0,18,6.5,False,,3762,156.0
2025-04-10,Thursday,Glaseada Clásica,239,227,12,0,18,6.5,False,,4086,78.0
2025-04-11,Friday,Glaseada Clásica,239,239,0,36,18,6.5,False,,4302,0.0
2025-04-12,Saturday,Glaseada Clásica,234,234,0,108,18,6.5,False,,4212,0.0
2025-04-13,Sunday,Glaseada Clásica,239,239,0,61,18,6.5,False,,4302,0.0
2025-04-14,Monday,Glaseada Clásica,242,127,115,0,18,6.5,False,,2286,747.5
2025-04-15,Tuesday,Glaseada Clásica,240,206,34,0,18,6.5,False,Quincena,3708,221.0
2025-04-16,Wednesday,Glaseada Clásica,241,213,28,0,18,6.5,False,,3834,182.0
2025-04-17,Thursday,Glaseada Clásica,241,223,18,0,18,6.5,False,,4014,117.0
2025-04-18,Friday,Glaseada Clásica,241,241,0,29,18,6.5,False,,4338,0.0
2025-04-19,Saturday,Glaseada Clásica,240,240,0,38,18,6.5,False,,4320,0.0
2025-04-20,Sunday,Glaseada Clásica,231,231,0,325,18,6.5,False,Feria Local de Primavera,4158,0.0
2025-04-21,Monday,Glaseada Clásica,268,263,5,0,18,6.5,True,Feria Local de Primavera,4734,32.5
2025-04-22,Tuesday,Glaseada Clásica,287,287,0,22,18,6.5,False,Feria Local de Primavera,5166,0.0
2025-04-23,Wednesday,Glaseada Clásica,302,302,0,34,18,6.5,False,Feria Local de Primavera,5436,0.0
2025-04-24,Thursday,Glaseada Clásica,319,319,0,35,18,6.5,False,Feria Local de Primavera,5742,0.0
2025-04-25,Friday,Glaseada Clásica,338,338,0,69,18,6.5,False,Feria Local de Primavera,6084,0.0
2025-04-26,Saturday,Glaseada Clásica,358,358,0,118,18,6.5,False,Feria Local de Primavera,6444,0.0
2025-04-27,Sunday,Glaseada Clásica,386,386,0,104,18,6.5,False,Feria Local de Primavera,6948,0.0
2025-04-28,Monday,Glaseada Clásica,376,255,121,0,18,6.5,False,Feria Local de Primavera,4590,786.5
2025-04-29,Tuesday,Glaseada Clásica,375,268,107,0,18,6.5,False,Feria Local de Primavera,4824,695.5
2025-04-30,Wednesday,Glaseada Clásica,369,305,64,0,18,6.5,False,Feria Local de Primavera,5490,416.0
2025-05-01,Thursday,Glaseada Clásica,365,261,104,0,18,6.5,False,Quincena,4698,676.0
2025-05-02,Friday,Glaseada Clásica,352,275,77,0,18,6.5,False,,4950,500.5
2025-05-03,Saturday,Glaseada Clásica,333,319,14,0,18,6.5,False,,5742,91.0
2025-05-04,Sunday,Glaseada Clásica,310,301,9,0,18,6.5,False,,5418,58.5
2025-05-05,Monday,Glaseada Clásica,283,152,131,0,18,6.5,False,,2736,851.5
2025-05-06,Tuesday,Glaseada Clásica,269,211,58,0,18,6.5,False,,3798,377.0
2025-05-07,Wednesday,Glaseada Clásica,261,193,68,0,18,6.5,False,,3474,442.0
2025-05-08,Thursday,Glaseada Clásica,245,216,29,0,18,6.5,False,,3888,188.5
2025-05-09,Friday,Glaseada Clásica,238,238,0,27,18,6.5,False,,4284,0.0
2025-05-10,Saturday,Glaseada Clásica,237,237,0,99,18,6.5,False,,4266,0.0
2025-05-11,Sunday,Glaseada Clásica,239,239,0,151,18,6.5,True,,4302,0.0
2025-05-12,Monday,Glaseada Clásica,252,159,93,0,18,6.5,False,,2862,604.5
2025-05-13,Tuesday,Glaseada Clásica,253,183,70,0,18,6.5,False,,3294,455.0
2025-05-14,Wednesday,Glaseada Clásica,249,189,60,0,18,6.5,False,,3402,390.0
2025-05-15,Thursday,Glaseada Clásica,248,248,0,13,18,6.5,False,Quincena,4464,0.0
2025-05-16,Friday,Glaseada Clásica,255,255,0,62,18,6.5,False,,4590,0.0
2025-05-17,Saturday,Glaseada Clásica,262,262,0,60,18,6.5,False,,4716,0.0
2025-05-18,Sunday,Glaseada Clásica,260,260,0,49,18,6.5,False,,4680,0.0
2025-05-19,Monday,Glaseada Clásica,249,166,83,0,18,6.5,False,,2988,539.5
2025-05-20,Tuesday,Glaseada Clásica,250,186,64,0,18,6.5,False,,3348,416.0
2025-05-21,Wednesday,Glaseada Clásica,250,218,32,0,18,6.5,False,,3924,208.0
2025-05-22,Thursday,Glaseada Clásica,254,210,44,0,18,6.5,False,,3780,286.0
2025-05-23,Friday,Glaseada Clásica,247,247,0,40,18,6.5,False,,4446,0.0
2025-05-24,Saturday,Glaseada Clásica,243,243,0,88,18,6.5,False,,4374,0.0
2025-05-25,Sunday,Glaseada Clásica,244,244,0,151,18,6.5,True,,4392,0.0
2025-05-26,Monday,Glaseada Clásica,256,163,93,0,18,6.5,False,,2934,604.5
2025-05-27,Tuesday,Glaseada Clásica,256,179,77,0,18,6.5,False,,3222,500.5
2025-05-28,Wednesday,Glaseada Clásica,255,182,73,0,18,6.5,False,,3276,474.5
2025-05-29,Thursday,Glaseada Clásica,250,243,7,0,18,6.5,False,,4374,45.5
2025-05-30,Friday,Glaseada Clásica,254,254,0,103,18,6.5,False,Quincena,4572,0.0
2025-05-31,Saturday,Glaseada Clásica,264,264,0,70,18,6.5,False,Quincena,4752,0.0
2025-06-01,Sunday,Glaseada Clásica,265,265,0,202,18,6.5,True,Quincena,4770,0.0
2025-06-02,Monday,Glaseada Clásica,275,169,106,0,18,6.5,False,,3042,689.0
2025-06-03,Tuesday,Glaseada Clásica,276,188,88,0,18,6.5,False,,3384,572.0
2025-06-04,Wednesday,Glaseada Clásica,277,191,86,0,18,6.5,False,,3438,559.0
2025-06-05,Thursday,Glaseada Clásica,278,233,45,0,18,6.5,False,,4194,292.5
2025-06-06,Friday,Glaseada Clásica,277,277,0,483,18,6.5,False,Día Nacional de la Dona,4986,0.0
2025-06-07,Saturday,Glaseada Clásica,335,319,16,0,18,6.5,False,,5742,104.0
2025-06-08,Sunday,Glaseada Clásica,332,290,42,0,18,6.5,False,,5220,273.0
2025-06-09,Monday,Glaseada Clásica,307,147,160,0,18,6.5,False,,2646,1040.0
2025-06-10,Tuesday,Glaseada Clásica,304,178,126,0,18,6.5,False,,3204,819.0
2025-06-11,Wednesday,Glaseada Clásica,303,214,89,0,18,6.5,True,,3852,578.5
2025-06-12,Thursday,Glaseada Clásica,306,191,115,0,18,6.5,False,,3438,747.5
2025-06-13,Friday,Glaseada Clásica,300,288,12,0,18,6.5,False,,5184,78.0
2025-06-14,Saturday,Glaseada Clásica,232,232,0,121,18,6.5,False,,4176,0.0
2025-06-15,Sunday,Glaseada Clásica,237,237,0,83,18,6.5,False,Quincena,4266,0.0
2025-06-16,Monday,Glaseada Clásica,242,158,84,0,18,6.5,False,,2844,546.0
2025-06-17,Tuesday,Glaseada Clásica,243,187,56,0,18,6.5,False,,3366,364.0
2025-06-18,Wednesday,Glaseada Clásica,244,193,51,0,18,6.5,False,,3474,331.5
2025-06-19,Thursday,Glaseada Clásica,241,241,0,0,18,6.5,False,,4338,0.0
2025-06-20,Friday,Glaseada Clásica,249,249,0,88,18,6.5,False,,4482,0.0
2025-06-21,Saturday,Glaseada Clásica,256,256,0,85,18,6.5,False,,4608,0.0
2025-06-22,Sunday,Glaseada Clásica,254,254,0,60,18,6.5,False,,4572,0.0
2025-06-23,Monday,Glaseada Clásica,253,151,102,0,18,6.5,False,,2718,663.0
2025-06-24,Tuesday,Glaseada Clásica,252,202,50,0,18,6.5,False,,3636,325.0
2025-06-25,Wednesday,Glaseada Clásica,254,198,56,0,18,6.5,False,,3564,364.0
2025-06-26,Thursday,Glaseada Clásica,255,201,54,0,18,6.5,False,,3618,351.0
2025-06-27,Friday,Glaseada Clásica,249,249,0,10,18,6.5,False,,4482,0.0
2025-06-28,Saturday,Glaseada Clásica,238,238,0,86,18,6.5,False,,4284,0.0
2025-06-29,Sunday,Glaseada Clásica,236,236,0,41,18,6.5,False,,4248,0.0
2025-06-30,Monday,Glaseada Clásica,230,164,66,0,18,6.5,False,Quincena,2952,429.0
2025-07-01,Tuesday,Glaseada Clásica,232,206,26,0,18,6.5,False,Quincena,3708,169.0
2025-07-02,Wednesday,Glaseada Clásica,233,188,45,0,18,6.5,False,,3384,292.5
2025-07-03,Thursday,Glaseada Clásica,231,230,1,0,18,6.5,False,,4140,6.5
2025-07-04,Friday,Glaseada Clásica,235,235,0,39,18,6.5,False,,4230,0.0
2025-07-05,Saturday,Glaseada Clásica,238,238,0,73,18,6.5,False,,4284,0.0
2025-07-06,Sunday,Glaseada Clásica,236,236,0,31,18,6.5,False,,4248,0.0
2025-07-07,Monday,Glaseada Clásica,234,168,66,0,18,6.5,False,,3024,429.0
2025-07-08,Tuesday,Glaseada Clásica,235,185,50,0,18,6.5,False,,3330,325.0
2025-07-09,Wednesday,Glaseada Clásica,232,205,27,0,18,6.5,False,,3690,175.5
2025-07-10,Thursday,Glaseada Clásica,234,231,3,0,18,6.5,False,,4158,19.5
2025-07-11,Friday,Glaseada Clásica,234,234,0,28,18,6.5,False,,4212,0.0
2025-07-12,Saturday,Glaseada Clásica,233,233,0,108,18,6.5,False,,4194,0.0
2025-07-13,Sunday,Glaseada Clásica,237,237,0,68,18,6.5,False,,4266,0.0
2025-07-14,Monday,Glaseada Clásica,242,137,105,0,18,6.5,False,,2466,682.5
2025-07-15,Tuesday,Glaseada Clásica,238,207,31,0,18,6.5,False,Quincena,3726,201.5
2025-07-16,Wednesday,Glaseada Clásica,241,208,33,0,18,6.5,False,,3744,214.5
2025-07-17,Thursday,Glaseada Clásica,242,239,3,0,18,6.5,False,,4302,19.5
2025-07-18,Friday,Glaseada Clásica,243,243,0,116,18,6.5,False,,4374,0.0
2025-07-19,Saturday,Glaseada Clásica,257,257,0,142,18,6.5,False,,4626,0.0
2025-07-20,Sunday,Glaseada Clásica,265,265,0,42,18,6.5,False,,4770,0.0
2025-07-21,Monday,Glaseada Clásica,265,155,110,0,18,6.5,False,,2790,715.0
2025-07-22,Tuesday,Glaseada Clásica,268,187,81,0,18,6.5,False,,3366,526.5
2025-07-23,Wednesday,Glaseada Clásica,265,189,76,0,18,6.5,False,,3402,494.0
2025-07-24,Thursday,Glaseada Clásica,262,237,25,0,18,6.5,False,,4266,162.5
2025-07-25,Friday,Glaseada Clásica,262,262,0,59,18,6.5,False,,4716,0.0
2025-07-26,Saturday,Glaseada Clásica,256,256,0,71,18,6.5,False,,4608,0.0
2025-07-27,Sunday,Glaseada Clásica,246,246,0,44,18,6.5,False,,4428,0.0
2025-07-28,Monday,Glaseada Clásica,244,148,96,0,18,6.5,False,,2664,624.0
2025-07-29,Tuesday,Glaseada Clásica,243,157,86,0,18,6.5,False,,2826,559.0
2025-07-30,Wednesday,Glaseada Clásica,238,235,3,0,18,6.5,False,Quincena,4230,19.5
2025-07-31,Thursday,Glaseada Clásica,245,245,0,53,18,6.5,False,Quincena,4410,0.0
2025-08-01,Friday,Glaseada Clásica,254,254,0,89,18,6.5,False,Quincena,4572,0.0
2025-08-02,Saturday,Glaseada Clásica,257,257,0,56,18,6.5,False,,4626,0.0
2025-08-03,Sunday,Glaseada Clásica,255,255,0,55,18,6.5,False,,4590,0.0
2025-08-04,Monday,Glaseada Clásica,258,162,96,0,18,6.5,False,,2916,624.0
2025-08-05,Tuesday,Glaseada Clásica,260,186,74,0,18,6.5,False,,3348,481.0
2025-08-06,Wednesday,Glaseada Clásica,264,188,76,0,18,6.5,False,,3384,494.0
2025-08-07,Thursday,Glaseada Clásica,257,226,31,0,18,6.5,False,,4068,201.5
2025-08-08,Friday,Glaseada Clásica,247,247,0,48,18,6.5,False,,4446,0.0
2025-08-09,Saturday,Glaseada Clásica,240,240,0,111,18,6.5,False,,4320,0.0
2025-08-10,Sunday,Glaseada Clásica,245,245,0,86,18,6.5,False,,4410,0.0
2025-08-11,Monday,Glaseada Clásica,248,145,103,0,18,6.5,False,,2610,669.5
2025-08-12,Tuesday,Glaseada Clásica,246,187,59,0,18,6.5,False,,3366,383.5
2025-08-13,Wednesday,Glaseada Clásica,246,204,42,0,18,6.5,False,,3672,273.0
2025-08-14,Thursday,Glaseada Clásica,248,237,11,0,18,6.5,False,,4266,71.5
2025-08-15,Friday,Glaseada Clásica,250,250,0,93,18,6.5,False,Quincena,4500,0.0
2025-08-16,Saturday,Glaseada Clásica,257,257,0,113,18,6.5,False,,4626,0.0
2025-08-17,Sunday,Glaseada Clásica,260,260,0,56,18,6.5,False,,4680,0.0
2025-08-18,Monday,Glaseada Clásica,257,177,80,0,18,6.5,True,,3186,520.0
2025-08-19,Tuesday,Glaseada Clásica,262,213,49,0,18,6.5,False,,3834,318.5
2025-08-20,Wednesday,Glaseada Clásica,266,193,73,0,18,6.5,False,,3474,474.5
2025-08-21,Thursday,Glaseada Clásica,264,247,17,0,18,6.5,False,,4446,110.5
2025-08-22,Friday,Glaseada Clásica,266,266,0,66,18,6.5,False,,4788,0.0
2025-08-23,Saturday,Glaseada Clásica,264,264,0,62,18,6.5,False,,4752,0.0
2025-08-24,Sunday,Glaseada Clásica,258,258,0,17,18,6.5,False,,4644,0.0
2025-08-25,Monday,Glaseada Clásica,252,198,54,0,18,6.5,True,,3564,351.0
2025-08-26,Tuesday,Glaseada Clásica,255,238,17,0,18,6.5,True,,4284,110.5
2025-08-27,Wednesday,Glaseada Clásica,258,213,45,0,18,6.5,False,,3834,292.5
2025-08-28,Thursday,Glaseada Clásica,261,178,83,0,18,6.5,False,,3204,539.5
2025-08-29,Friday,Glaseada Clásica,251,251,0,58,18,6.5,False,,4518,0.0
2025-08-30,Saturday,Glaseada Clásica,248,248,0,131,18,6.5,False,Quincena,4464,0.0
2025-08-31,Sunday,Glaseada Clásica,256,256,0,62,18,6.5,False,Quincena,4608,0.0
2025-09-01,Monday,Glaseada Clásica,262,180,82,0,18,6.5,False,Quincena,3240,533.0
2025-09-02,Tuesday,Glaseada Clásica,259,182,77,0,18,6.5,False,,3276,500.5
2025-09-03,Wednesday,Glaseada Clásica,251,220,31,0,18,6.5,False,,3960,201.5
2025-09-04,Thursday,Glaseada Clásica,252,238,14,0,18,6.5,False,,4284,91.0
2025-09-05,Friday,Glaseada Clásica,261,261,0,22,18,6.5,False,,4698,0.0
2025-09-06,Saturday,Glaseada Clásica,257,257,0,102,18,6.5,False,,4626,0.0
2025-09-07,Sunday,Glaseada Clásica,254,254,0,50,18,6.5,False,,4572,0.0
2025-09-08,Monday,Glaseada Clásica,252,185,67,0,18,6.5,False,,3330,435.5
2025-09-09,Tuesday,Glaseada Clásica,253,181,72,0,18,6.5,False,,3258,468.0
2025-09-10,Wednesday,Glaseada Clásica,253,219,34,0,18,6.5,False,,3942,221.0
2025-09-11,Thursday,Glaseada Clásica,253,238,15,0,18,6.5,False,,4284,97.5
2025-09-12,Friday,Glaseada Clásica,253,253,0,35,18,6.5,False,,4554,0.0
2025-09-13,Saturday,Glaseada Clásica,253,253,0,71,18,6.5,False,,4554,0.0
2025-09-14,Sunday,Glaseada Clásica,248,248,0,65,18,6.5,False,,4464,0.0
2025-09-15,Monday,Glaseada Clásica,250,171,79,0,18,6.5,False,Quincena,3078,513.5
2025-09-16,Tuesday,Glaseada Clásica,248,224,24,0,18,6.5,False,,4032,156.0
2025-09-17,Wednesday,Glaseada Clásica,254,160,94,0,18,6.5,False,,2880,611.0
2025-09-18,Thursday,Glaseada Clásica,245,231,14,0,18,6.5,False,,4158,91.0
2025-09-19,Friday,Glaseada Clásica,244,244,0,51,18,6.5,False,,4392,0.0
2025-09-20,Saturday,Glaseada Clásica,245,245,0,128,18,6.5,False,,4410,0.0
2025-09-21,Sunday,Glaseada Clásica,252,252,0,91,18,6.5,False,,4536,0.0
2025-09-22,Monday,Glaseada Clásica,257,159,98,0,18,6.5,False,,2862,637.0
2025-09-23,Tuesday,Glaseada Clásica,255,191,64,0,18,6.5,False,,3438,416.0
2025-09-24,Wednesday,Glaseada Clásica,250,197,53,0,18,6.5,False,,3546,344.5
2025-09-25,Thursday,Glaseada Clásica,256,235,21,0,18,6.5,False,,4230,136.5
2025-09-26,Friday,Glaseada Clásica,256,256,0,77,18,6.5,False,,4608,0.0
2025-09-27,Saturday,Glaseada Clásica,262,262,0,58,18,6.5,False,,4716,0.0
2025-09-28,Sunday,Glaseada Clásica,254,254,0,90,18,6.5,False,,4572,0.0
2025-09-29,Monday,Glaseada Clásica,254,170,84,0,18,6.5,False,,3060,546.0
2025-09-30,Tuesday,Glaseada Clásica,256,217,39,0,18,6.5,False,Quincena,3906,253.5
2025-10-01,Wednesday,Glaseada Clásica,259,226,33,0,18,6.5,False,Quincena,4068,214.5
2025-10-02,Thursday,Glaseada Clásica,264,226,38,0,18,6.5,False,,4068,247.0
2025-10-03,Friday,Glaseada Clásica,262,262,0,47,18,6.5,False,,4716,0.0
2025-10-04,Saturday,Glaseada Clásica,259,259,0,78,18,6.5,False,,4662,0.0
2025-10-05,Sunday,Glaseada Clásica,261,261,0,76,18,6.5,False,,4698,0.0
2025-10-06,Monday,Glaseada Clásica,260,141,119,0,18,6.5,False,,2538,773.5
2025-10-07,Tuesday,Glaseada Clásica,256,207,49,0,18,6.5,False,,3726,318.5
2025-10-08,Wednesday,Glaseada Clásica,255,187,68,0,18,6.5,False,,3366,442.0
2025-10-09,Thursday,Glaseada Clásica,249,237,12,0,18,6.5,False,,4266,78.0
2025-10-10,Friday,Glaseada Clásica,251,251,0,92,18,6.5,False,,4518,0.0
2025-10-11,Saturday,Glaseada Clásica,256,256,0,46,18,6.5,False,,4608,0.0
2025-10-12,Sunday,Glaseada Clásica,251,251,0,46,18,6.5,False,,4518,0.0
2025-10-13,Monday,Glaseada Clásica,245,166,79,0,18,6.5,False,,2988,513.5
2025-10-14,Tuesday,Glaseada Clásica,248,176,72,0,18,6.5,False,,3168,468.0
2025-10-15,Wednesday,Glaseada Clásica,244,244,0,1,18,6.5,False,Quincena,4392,0.0
2025-10-16,Thursday,Glaseada Clásica,252,217,35,0,18,6.5,False,,3906,227.5
2025-10-17,Friday,Glaseada Clásica,249,249,0,14,18,6.5,False,,4482,0.0
2025-10-18,Saturday,Glaseada Clásica,238,238,0,164,18,6.5,False,,4284,0.0
2025-10-19,Sunday,Glaseada Clásica,252,252,0,61,18,6.5,False,,4536,0.0
2025-10-20,Monday,Glaseada Clásica,255,146,109,0,18,6.5,False,,2628,708.5
